Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
robot_body,7.61031265785156E-18,0.0269020159399907,-6.56352555085698E-05,0,0,0,4.266,0.0303319746647914,-1.25619509476993E-18,-5.25706915345657E-18,0.0584004816221285,-0.000455042564463211,0.0311586930426629,0,0,0,0,0,0,package://little_boy/meshes/robot_body.STL,1,1,1,1,0,0,0,0,0,0,package://little_boy/meshes/robot_body.STL,,main_body_-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_L,0.0176282080548916,0.0370896616143596,0.00815080609992025,0,0,0,0.283423667764616,0.000265257278790206,3.50902367562715E-22,7.10003077447817E-09,0.000259412903702561,-1.91724092848441E-06,0.000144352415869328,0,0,0,0,0,0,package://little_boy/meshes/shoulder_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/shoulder_L.STL,,L_shoulder-1,Origin_shoulder_L_joint,Axis_shoulder_L_joint,shoulder_L_joint,continuous,-0.085,0.04,0.06,1.5708,0,0,robot_body,0,1,0,,,,,,,,,,,,
servo_shaft_L,0.025,1.04083408558608E-17,0.0025,0,0,0,0.0141430516117518,1.01149544349088E-06,1.21760986167806E-21,3.02593885271888E-23,6.54527770083573E-06,4.35148745555937E-24,7.49784376261098E-06,0,0,0,0,0,0,package://little_boy/meshes/servo_shaft_L.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://little_boy/meshes/servo_shaft_L.STL,,shaft-1,Origin_ulna_servo_L,Axis_ulna_servo_L,ulna_servo_L,continuous,0,0.07,0.055,1.5708,-0.11279,1.5708,shoulder_L,0,0,1,,,,,,,,,,,,
triceps_L,0.00250000000000003,-5.55111512312578E-17,-0.0749999999999999,0,0,0,0.0163744467859455,3.74341893949682E-05,5.07554232829905E-23,7.70773795544969E-24,3.692933971376E-05,-5.87629107157671E-21,5.73076542816349E-07,0,0,0,0,0,0,package://little_boy/meshes/triceps_L.STL,0,0,1,1,0,0,0,0,0,0,package://little_boy/meshes/triceps_L.STL,,triceps_-1,Origin_triceps_shaft_joint_L,Axis_triceps_shaft_joint_L,triceps_shaft_joint_L,continuous,0.05,0,0.005,1.9502,-1.5708,0,servo_shaft_L,1,0,0,,,,,,,,,,,,
ulna_L_ins1,0.0545874765333507,0,0.014984129598169,0,0,0,0.0623918688838127,4.68999147843949E-06,-2.17899225681169E-19,1.11324606142716E-21,0.000245475802534651,-3.24842515473838E-22,0.000249905827892741,0,0,0,0,0,0,package://little_boy/meshes/ulna_L_ins1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/ulna_L_ins1.STL,,ulna_-2,Origin_ulna_triceps_joint_L,,ulna_triceps_joint_L,fixed,0,-0.067012,-0.17023,1.5708,0.29323,-1.5708,triceps_L,0,0,0,,,,,,,,,,,,
humerus_L,-0.075,3.46944695195361E-17,0.0124999999999997,0,0,0,0.0519272118011655,3.88070998990835E-06,8.19504376468536E-20,-8.02144397407362E-21,0.000130596276371464,-9.7780692694582E-24,0.000134260622978868,0,0,0,0,0,0,package://little_boy/meshes/humerus_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/humerus_L.STL,,humerus-1,Origin_humerus_servo_L,Axis_humerus_servo_L,humerus_servo_L,continuous,0,0.035,-0.015,1.5708,-0.7854,-1.5708,shoulder_L,0,0,1,,,,,,,,,,,,
ulna_L_in2,0.0545874765333507,-5.55111512312578E-17,0.0099841295981687,0,0,0,0.0623918688838127,4.68999147843951E-06,-2.40980873493848E-19,1.11329823859271E-21,0.000245475802534651,-3.24864237572959E-22,0.000249905827892741,0,0,0,0,0,0,package://little_boy/meshes/ulna_L_in2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/ulna_L_in2.STL,,ulna_-2,Origin_ulna_humerus_joint_L,Axis_ulna_humerus_joint_L,ulna_humerus_joint_L,continuous,-0.15,0,0,0,0,-1.5708,humerus_L,0,0,1,,,,,,,,,,,,
wrist_L_ins1,0.00750000000000002,0.0120255662044686,0.0177078963677059,0,0,0,0.045714101606315,1.44625861769414E-05,2.13841400464998E-22,1.82737513348935E-20,1.14249586142426E-05,1.96430007002868E-06,1.69837601342722E-05,0,0,0,0,0,0,package://little_boy/meshes/wrist_L_ins1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/wrist_L_ins1.STL,,wrist-3,Origin_wrist_ulna_joint_L,,wrist_ulna_joint_L,fixed,0.15,0,0.005,0.7806,-1.5708,0,ulna_L_in2,0,0,0,,,,,,,,,,,,
finger_support_outer_L,5.55111512312578E-17,-0.0025,-0.0199999999999999,0,0,0,0.00236128315516283,4.51879117250703E-07,-1.40436489335427E-24,7.65132373088747E-22,4.66072959289763E-07,-9.76758131757343E-22,2.4032521852239E-08,0,0,0,0,0,0,package://little_boy/meshes/finger_support_outer_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/finger_support_outer_L.STL,,gripper_servo_shaft_link-7,Origin_support_wrist_outer_joint_L,Axis_support_wrist_outer_joint_L,support_wrist_outer_joint_L,continuous,0.039713,0,0.020587,3.1416,1.0036E-05,0,wrist_L_ins1,0,1,0,,,,,,,,,,,,
finger_outer_L_ins1,0.00511306770476384,0.00749999999999998,-0.00728422296123404,0,0,0,0.00771718769015706,3.08987109886469E-06,-2.02659250075492E-21,-9.12550467897181E-07,3.56022426581631E-06,-6.70264450351718E-21,5.02508115660616E-07,0,0,0,0,0,0,package://little_boy/meshes/finger_outer_L_ins1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/finger_outer_L_ins1.STL,,finger-3,Origin_finger_support_outer_joint_L,,finger_support_outer_joint_L,fixed,-0.021213,-0.01,-0.061213,0,1.0036E-05,0,finger_support_outer_L,0,0,0,,,,,,,,,,,,
finger_actuator_outer_L,3.33066907387547E-16,-0.00250000000000003,-0.0199999999999997,0,0,0,0.00236128315516283,4.51879117250703E-07,-1.24176015040469E-24,9.30649123494754E-22,4.66072959289763E-07,-9.74877588333492E-22,2.4032521852239E-08,0,0,0,0,0,0,package://little_boy/meshes/finger_actuator_outer_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/finger_actuator_outer_L.STL,,gripper_servo_shaft_link-5,Origin_finger_actuator_outer_servo_L,Axis_finger_actuator_outer_servo_L,finger_actuator_outer_servo_L,continuous,0.0185,0,0.0418,3.1416,1.0036E-05,0,wrist_L_ins1,0,1,0,,,,,,,,,,,,
finger_outer_L_ins2,0.00511306770476233,0.00749999999999998,-0.00728422296123388,0,0,0,0.00771718769015706,3.08987109886468E-06,-2.03817302933066E-21,-9.1255046789718E-07,3.56022426581631E-06,-6.73304339102851E-21,5.02508115660616E-07,0,0,0,0,0,0,package://little_boy/meshes/finger_outer_L_ins2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/finger_outer_L_ins2.STL,,finger-3,Origin_finger_servo_outer_joint_L,,finger_servo_outer_joint_L,fixed,0,-0.01,-0.04,0,1.0036E-05,0,finger_actuator_outer_L,0,0,0,,,,,,,,,,,,
finger_actuator_inner_L,3.7470027081099E-16,0.00250000000000002,-0.0199999999999999,0,0,0,0.00236128315516283,4.51879117250704E-07,-1.18581990730924E-25,-7.81465991394108E-24,4.66072959289764E-07,9.84215681967392E-22,2.4032521852239E-08,0,0,0,0,0,0,package://little_boy/meshes/finger_actuator_inner_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/finger_actuator_inner_L.STL,,gripper_servo_shaft_link-1,Origin_finger_actuator_inner_servo_L,Axis_finger_actuator_inner_servo_L,finger_actuator_inner_servo_L,continuous,-0.0035,0,0.0418,3.1416,0,3.1416,wrist_L_ins1,0,1,0,,,,,,,,,,,,
finger_inner_L_ins1,0.00511306770476561,0.00750000000000003,-0.00728422296123432,0,0,0,0.00771718769015707,3.08987109886468E-06,2.0216294170796E-21,-9.12550467897193E-07,3.56022426581631E-06,6.8124527298336E-21,5.02508115660625E-07,0,0,0,0,0,0,package://little_boy/meshes/finger_inner_L_ins1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/finger_inner_L_ins1.STL,,finger-1,Origin_finger_servo_inner_joint_L,,finger_servo_inner_joint_L,fixed,0,-0.005,-0.04,0,0,0,finger_actuator_inner_L,0,0,0,,,,,,,,,,,,
finger_support_inner_L,-1.68337566108789E-13,0.00249999999999984,-0.0199999999999622,0,0,0,0.00236128315516283,4.51879117250704E-07,-9.74916321070811E-26,-1.22111604485446E-23,4.66072959289764E-07,9.84467713560279E-22,2.4032521852239E-08,0,0,0,0,0,0,package://little_boy/meshes/finger_support_inner_L.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/finger_support_inner_L.STL,,gripper_servo_shaft_link-3,Origin_support_wrist_inner_joint_L,Axis_support_wrist_inner_joint_L,support_wrist_inner_joint_L,continuous,-0.0247132034355964,0,0.0205867965644033,3.14159265358979,0,3.14159265358979,wrist_L_ins1,0,1,0,,,,,,,,,,,,
finger_inner_L,0.00511306770463403,0.00749999999999987,-0.00728422296123454,0,0,0,0.00771718769015706,3.08987109886467E-06,2.05223509974406E-21,-9.12550467897202E-07,3.56022426581631E-06,6.81265952498674E-21,5.02508115660632E-07,0,0,0,0,0,0,package://little_boy/meshes/finger_inner_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/finger_inner_L.STL,,finger-1,Origin_finger_support_inner_joint_L_ins2,Axis_finger_support_inner_joint_L_ins2,finger_support_inner_joint_L_ins2,fixed,-0.0212132034355953,-0.00499999999999985,-0.0612132034355966,0,0,0,finger_support_inner_L,0,0,0,,,,,,,,,,,,
elbow_L_ins1,0.152162677124301,0.230059087454614,-0.0974999999999999,0,0,0,0.0427619510241515,1.36758061050991E-05,1.99613319993036E-06,-6.44024318031822E-22,6.30957779977599E-06,-4.53939815737194E-23,1.83818107414694E-05,0,0,0,0,0,0,package://little_boy/meshes/elbow_L_ins1.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/elbow_L_ins1.STL,,elbow-1,Origin_elbow_humerus_joint_L,Axis_elbow_humerus_joint_L,elbow_humerus_joint_L,fixed,0.106066017177982,-0.0282842712474625,-0.085,3.14159265358979,0,-2.35139744838984,humerus_L,0,0,0,,,,,,,,,,,,
ulna_support_L,-0.0750000000000707,2.80331313717852E-14,0.0124999999999988,0,0,0,0.0330002209841783,1.14721075515941E-06,8.173867941004E-20,-1.64349907938118E-21,7.52734537911621E-05,-7.10267285501199E-23,7.62831636255541E-05,0,0,0,0,0,0,package://little_boy/meshes/ulna_support_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/ulna_support_L.STL,,arm_support_link-3,Origin_ulna_sup_elbow_joint_L,Axis_ulna_sup_elbow_joint_L,ulna_sup_elbow_joint_L,continuous,0.160099645597075,0.251836341210115,-0.0849999999999999,3.14159265358979,0,2.36099153199484,elbow_L_ins1,0,0,1,,,,,,,,,,,,
wrist_L_ins2,0.0074999999999897,0.0120255662043827,0.0177078963676536,0,0,0,0.045714101606315,1.44625861769414E-05,1.96557219476226E-22,1.80532018603015E-20,1.14249586142426E-05,1.96430007002868E-06,1.69837601342722E-05,0,0,0,0,0,0,package://little_boy/meshes/wrist_L_ins2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/wrist_L_ins2.STL,,wrist-3,Origin_wrist_support_joint_L,Axis_wrist_support_joint_L,wrist_support_joint_L,fixed,-0.185185331879527,-0.0355245326574139,0.00500000000000012,2.36099153199484,-1.5707963267949,0,ulna_support_L,0,0,0,,,,,,,,,,,,
humerus_support_L,-0.0749999999999872,-1.04652397858729E-13,0.0124999999999868,0,0,0,0.0330002209841783,1.14721075515939E-06,-1.161019590472E-16,-1.63201420245891E-17,7.52734537911621E-05,-2.21540650299699E-19,7.62831636255541E-05,0,0,0,0,0,0,package://little_boy/meshes/humerus_support_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/humerus_support_L.STL,,arm_support_link-1,Origin_humerus_support_joint_L,Axis_humerus_support_joint_L,humerus_support_joint_L,continuous,0,0.075,0.00999999999997808,1.5707963267949,-0.779717685636845,-1.5707963267949,shoulder_L,0,0,1,,,,,,,,,,,,
elbow_L_ins2,-0.00793696847271147,0.028222746244398,0.00749999999998187,0,0,0,0.0427619510241515,1.36758061050991E-05,1.99613319993036E-06,-1.44508705555333E-22,6.30957779977599E-06,-1.42028475409537E-22,1.83818107414694E-05,0,0,0,0,0,0,package://little_boy/meshes/elbow_L_ins2.STL,0.250980392156863,0.250980392156863,0.250980392156863,1,0,0,0,0,0,0,package://little_boy/meshes/elbow_L_ins2.STL,,elbow-1,Origin_elbow_hum_sup_joint_L,Axis_elbow_hum_sup_joint_L,elbow_hum_sup_joint_L,fixed,-0.139130064948853,-0.0467530160736474,0.0200000000000002,3.14159265358979,0,-2.34571697062923,humerus_support_L,0,0,0,,,,,,,,,,,,
shoulder_R,-0.0176282080548988,0.0370896616143597,0.00815080609990503,0,0,0,0.283423667764616,0.000265257278790206,-1.267476044249E-21,-7.10003077447473E-09,0.000259412903702561,-1.91724092848443E-06,0.000144352415869328,0,0,0,0,0,0,package://little_boy/meshes/shoulder_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://little_boy/meshes/shoulder_R.STL,,R_shoulder-1,Origin_shoulder_R_joint,Axis_shoulder_R_joint,shoulder_R_joint,continuous,0.085,0.04,0.06,1.5708,0,0,robot_body,0,1,0,,,,,,,,,,,,
servo_shaft_R,0.0250000000000018,-2.18575157973078E-14,-0.00250000000003446,0,0,0,0.0141430516117517,1.01149544349088E-06,7.80071022306908E-18,6.14686865733588E-19,6.54527770083571E-06,6.33456407456332E-19,7.49784376261096E-06,0,0,0,0,0,0,package://little_boy/meshes/servo_shaft_R.STL,0.501960784313725,0.501960784313725,0.501960784313725,1,0,0,0,0,0,0,package://little_boy/meshes/servo_shaft_R.STL,,shaft-2,Origin_ulna_servo_R,Axis_ulna_servo_R,ulna_servo_R,continuous,0,0.0700000000000001,0.0549999999999848,1.57079632679475,-0.141084265240084,1.57079632679492,shoulder_R,0,0,1,,,,,,,,,,,,
